Ivorra B., Ferrández M.R., Vela-Pérez M., Ramos A.M.,	Ivorra B., Ferrández M.R., Vela-Pérez M., Ramos A.M.
Buja L.M., Wolf D., Zhao B., Akkanti B., McDonald M., Lelenwa L., Reilly N., Ottaviani G., Elghetany M.T., Trujillo D.O., Aisenberg G.M., Madjid M., Kar B.,	Buja L.M., Wolf D., Zhao B., Akkanti B., McDonald M., Lelenwa L., Reilly N., Ottaviani G., Elghetany M.T., Trujillo D.O., Aisenberg G.M., Madjid M., Kar B.
Salgotra R., Gandomi M., Gandomi A.H.,	Salgotra R., Gandomi M., Gandomi A.H.
Yazdanpanah F., Hamblin M.R., Rezaei N.,	Yazdanpanah F., Hamblin M.R., Rezaei N.
Saba A.I., Elsheikh A.H.,	Saba A.I., Elsheikh A.H.
Liu B.,	Liu B.
Huang L., Jiang J., Li X., Zhou Y., Xu M., Zhou J.,	Huang L., Jiang J., Li X., Zhou Y., Xu M., Zhou J.
Fattorini D., Regoli F.,	Fattorini D., Regoli F.
Deffune E., Prudenciatti A., Moroz A.,	Deffune E., Prudenciatti A., Moroz A.
Hong K.H., Lee S.W., Kim T.S., Huh H.J., Lee J., Kim S.Y., Park J.-S., Kim G.J., Sung H., Roh K.H., Kim J.-S., Kim H.S., Lee S.-T., Seong M.-W., Ryoo N., Lee H., Kwon K.C., Yoo C.K.,	Hong K.H., Lee S.W., Kim T.S., Huh H.J., Lee J., Kim S.Y., Park J.-S., Kim G.J., Sung H., Roh K.H., Kim J.-S., Kim H.S., Lee S.-T., Seong M.-W., Ryoo N., Lee H., Kwon K.C., Yoo C.K.
Afsar C.U., Afsar S.,	Afsar C.U., Afsar S.
Stewart M., Thaler A., Hunt P., Estephan L., Boon M., Huntley C.,	Stewart M., Thaler A., Hunt P., Estephan L., Boon M., Huntley C.
Smith D., Montagne J., Raices M., Dietrich A., Bisso I.C., Las Heras M., San Román J.E., García Fornari G., Figari M.,	Smith D., Montagne J., Raices M., Dietrich A., Bisso I.C., Las Heras M., San Román J.E., García Fornari G., Figari M.
Lovato A., Galletti C., Galletti B., de Filippis C.,	Lovato A., Galletti C., Galletti B., de Filippis C.
Desborough M.J.R., Doyle A.J., Griffiths A., Retter A., Breen K.A., Hunt B.J.,	Desborough M.J.R., Doyle A.J., Griffiths A., Retter A., Breen K.A., Hunt B.J.
Magro G.,	Magro G.
Kim Y.J., Sung H., Ki C.-S., Hur M.,	Kim Y.J., Sung H., Ki C.-S., Hur M.
Fan M., Qiu W., Bu B., Xu Y., Yang H., Huang D., Lau A.Y., Guo J., Zhang M.-N., Zhang X., Yang C.-S., Chen J., Zheng P., Liu Q., Zhang C., Shi F.-D.,	Fan M., Qiu W., Bu B., Xu Y., Yang H., Huang D., Lau A.Y., Guo J., Zhang M.-N., Zhang X., Yang C.-S., Chen J., Zheng P., Liu Q., Zhang C., Shi F.-D.
Rubio-Romero J.C., Pardo-Ferreira M.D.C., Torrecilla-García J.A., Calero-Castro S.,	Rubio-Romero J.C., Pardo-Ferreira M.D.C., Torrecilla-García J.A., Calero-Castro S.
Cui N., Zou X., Xu L.,	Cui N., Zou X., Xu L.
Mishra A.M., Purohit S.D., Owolabi K.M., Sharma Y.D.,	Mishra A.M., Purohit S.D., Owolabi K.M., Sharma Y.D.
Baghizadeh Fini M.,	Baghizadeh Fini M.
Guillan M., Villacieros-Alvarez J., Bellido S., Perez-Jorge Peremarch C., Suarez-Vega V.M., Aragones-Garcia M., Cabrera-Rojo C., Fernandez-Ferro J.,	Guillan M., Villacieros-Alvarez J., Bellido S., Perez-Jorge Peremarch C., Suarez-Vega V.M., Aragones-Garcia M., Cabrera-Rojo C., Fernandez-Ferro J.
Xu S., Chen M., Weng J.,	Xu S., Chen M., Weng J.
Ahmad S.I.,	Ahmad S.I.
Li J., Gong X., Wang Z., Chen R., Li T., Zeng D., Li M.,	Li J., Gong X., Wang Z., Chen R., Li T., Zeng D., Li M.
Orive G., Lertxundi U., Barcelo D.,	Orive G., Lertxundi U., Barcelo D.
Lal P., Kumar A., Kumar S., Kumari S., Saikia P., Dayanandan A., Adhikari D., Khan M.L.,	Lal P., Kumar A., Kumar S., Kumari S., Saikia P., Dayanandan A., Adhikari D., Khan M.L.
Vankadari N.,	Vankadari N.
Yao M., Zhang L., Ma J., Zhou L.,	Yao M., Zhang L., Ma J., Zhou L.
Xu H., Yan C., Fu Q., Xiao K., Yu Y., Han D., Wang W., Cheng J.,	Xu H., Yan C., Fu Q., Xiao K., Yu Y., Han D., Wang W., Cheng J.
Gurung A.B., Ali M.A., Lee J., Farah M.A., Al-Anazi K.M.,	Gurung A.B., Ali M.A., Lee J., Farah M.A., Al-Anazi K.M.
Randazzo W., Truchado P., Cuevas-Ferrando E., Simón P., Allende A., Sánchez G.,	Randazzo W., Truchado P., Cuevas-Ferrando E., Simón P., Allende A., Sánchez G.
Banerjee A., Czinn S.J., Reiter R.J., Blanchard T.G.,	Banerjee A., Czinn S.J., Reiter R.J., Blanchard T.G.
Acter T., Uddin N., Das J., Akhter A., Choudhury T.R., Kim S.,	Acter T., Uddin N., Das J., Akhter A., Choudhury T.R., Kim S.
Hart O.E., Halden R.U.,	Hart O.E., Halden R.U.
Chiarini M., Paghera S., Moratto D., Rossi N.D., Giacomelli M., Badolato R., Capra R., Imberti L.,	Chiarini M., Paghera S., Moratto D., Rossi N.D., Giacomelli M., Badolato R., Capra R., Imberti L.
Nakada L.Y.K., Urban R.C.,	Nakada L.Y.K., Urban R.C.
Renu K., Prasanna P.L., Valsala Gopalakrishnan A.,	Renu K., Prasanna P.L., Valsala Gopalakrishnan A.
Tong P.-B.-V., Lin L.-Y., Tran T.H.,	Tong P.-B.-V., Lin L.-Y., Tran T.H.
Kerimray A., Baimatova N., Ibragimova O.P., Bukenov B., Kenessov B., Plotitsyn P., Karaca F.,	Kerimray A., Baimatova N., Ibragimova O.P., Bukenov B., Kenessov B., Plotitsyn P., Karaca F.
Sobral M.F.F., Duarte G.B., da Penha Sobral A.I.G., Marinho M.L.M., de Souza Melo A.,	Sobral M.F.F., Duarte G.B., da Penha Sobral A.I.G., Marinho M.L.M., de Souza Melo A.
Balachandar V., Mahalaxmi I., Subramaniam M., Kaavya J., Senthil Kumar N., Laldinmawii G., Narayanasamy A., Janardhana Kumar Reddy P., Sivaprakash P., Kanchana S., Vivekanandhan G., Cho S.-G.,	Balachandar V., Mahalaxmi I., Subramaniam M., Kaavya J., Senthil Kumar N., Laldinmawii G., Narayanasamy A., Janardhana Kumar Reddy P., Sivaprakash P., Kanchana S., Vivekanandhan G., Cho S.-G.
Heller L., Mota C.R., Greco D.B.,	Heller L., Mota C.R., Greco D.B.
Coccia M.,	Coccia M.
Ahmadi M., Sharifi A., Dorosti S., Jafarzadeh Ghoushchi S., Ghanbari N.,	Ahmadi M., Sharifi A., Dorosti S., Jafarzadeh Ghoushchi S., Ghanbari N.
Ren X., Shao X.-X., Li X.-X., Jia X.-H., Song T., Zhou W.-Y., Wang P., Li Y., Wang X.-L., Cui Q.-H., Qiu P.-J., Zhao Y.-G., Li X.-B., Zhang F.-C., Li Z.-Y., Zhong Y., Wang Z.-G., Fu X.-J.,	Ren X., Shao X.-X., Li X.-X., Jia X.-H., Song T., Zhou W.-Y., Wang P., Li Y., Wang X.-L., Cui Q.-H., Qiu P.-J., Zhao Y.-G., Li X.-B., Zhang F.-C., Li Z.-Y., Zhong Y., Wang Z.-G., Fu X.-J.
Ishige T., Murata S., Taniguchi T., Miyabe A., Kitamura K., Kawasaki K., Nishimura M., Igari H., Matsushita K.,	Ishige T., Murata S., Taniguchi T., Miyabe A., Kitamura K., Kawasaki K., Nishimura M., Igari H., Matsushita K.
Ahmed W., Angel N., Edson J., Bibby K., Bivins A., O'Brien J.W., Choi P.M., Kitajima M., Simpson S.L., Li J., Tscharke B., Verhagen R., Smith W.J.M., Zaugg J., Dierens L., Hugenholtz P., Thomas K.V., Mueller J.F.,	Ahmed W., Angel N., Edson J., Bibby K., Bivins A., O'Brien J.W., Choi P.M., Kitajima M., Simpson S.L., Li J., Tscharke B., Verhagen R., Smith W.J.M., Zaugg J., Dierens L., Hugenholtz P., Thomas K.V., Mueller J.F.
Abboud H., Abboud F.Z., Kharbouch H., Arkha Y., El Abbadi N., El Ouahabi A.,	Abboud H., Abboud F.Z., Kharbouch H., Arkha Y., El Abbadi N., El Ouahabi A.
Huang F., Li Y., Leung E.L.-H., Liu X., Liu K., Wang Q., Lan Y., Li X., Yu H., Cui L., Luo H., Luo L.,	Huang F., Li Y., Leung E.L.-H., Liu X., Liu K., Wang Q., Lan Y., Li X., Yu H., Cui L., Luo H., Luo L.
Quiros Roldan E., Biasiotto G., Magro P., Zanella I.,	Quiros Roldan E., Biasiotto G., Magro P., Zanella I.
Degli-Angeli E., Dragavon J., Huang M.-L., Lucic D., Cloherty G., Jerome K.R., Greninger A.L., Coombs R.W.,	Degli-Angeli E., Dragavon J., Huang M.-L., Lucic D., Cloherty G., Jerome K.R., Greninger A.L., Coombs R.W.
Kohmer N., Westhaus S., Rühl C., Ciesek S., Rabenau H.F.,	Kohmer N., Westhaus S., Rühl C., Ciesek S., Rabenau H.F.
Liang J., Pitsillou E., Karagiannis C., Darmawan K.K., Ng K., Hung A., Karagiannis T.C.,	Liang J., Pitsillou E., Karagiannis C., Darmawan K.K., Ng K., Hung A., Karagiannis T.C.
Pérez-García F., Pérez-Tanoira R., Romanyk J., Arroyo T., Gómez-Herruz P., Cuadros-González J.,	Pérez-García F., Pérez-Tanoira R., Romanyk J., Arroyo T., Gómez-Herruz P., Cuadros-González J.
Yip C.C.-Y., Sridhar S., Cheng A.K.-W., Leung K.-H., Choi G.K.-Y., Chen J.H.-K., Poon R.W.-S., Chan K.-H., Wu A.K.-L., Chan H.S.-Y., Chau S.K.-Y., Chung T.W.-H., To K.K.-W., Tsang O.T.-Y., Hung I.F.-N., Cheng V.C.-C., Yuen K.-Y., Chan J.F.-W.,	Yip C.C.-Y., Sridhar S., Cheng A.K.-W., Leung K.-H., Choi G.K.-Y., Chen J.H.-K., Poon R.W.-S., Chan K.-H., Wu A.K.-L., Chan H.S.-Y., Chau S.K.-Y., Chung T.W.-H., To K.K.-W., Tsang O.T.-Y., Hung I.F.-N., Cheng V.C.-C., Yuen K.-Y., Chan J.F.-W.
Beavis K.G., Matushek S.M., Abeleda A.P.F., Bethel C., Hunt C., Gillen S., Moran A., Tesic V.,	Beavis K.G., Matushek S.M., Abeleda A.P.F., Bethel C., Hunt C., Gillen S., Moran A., Tesic V.
Joshi R.P., Pejaver V., Hammarlund N.E., Sung H., Lee S.K., Furmanchuk A., Lee H.-Y., Scott G., Gombar S., Shah N., Shen S., Nassiri A., Schneider D., Ahmad F.S., Liebovitz D., Kho A., Mooney S., Pinsky B.A., Banaei N.,	Joshi R.P., Pejaver V., Hammarlund N.E., Sung H., Lee S.K., Furmanchuk A., Lee H.-Y., Scott G., Gombar S., Shah N., Shen S., Nassiri A., Schneider D., Ahmad F.S., Liebovitz D., Kho A., Mooney S., Pinsky B.A., Banaei N.
Rothan H.A., Stone S., Natekar J., Kumari P., Arora K., Kumar M.,	Rothan H.A., Stone S., Natekar J., Kumari P., Arora K., Kumar M.
Blairon L., Wilmet A., Beukinga I., Tré-Hardy M.,	Blairon L., Wilmet A., Beukinga I., Tré-Hardy M.
Gao M., Yang L., Chen X., Deng Y., Yang S., Xu H., Chen Z., Gao X.,	Gao M., Yang L., Chen X., Deng Y., Yang S., Xu H., Chen Z., Gao X.
Ma Q., Pan W., Li R., Liu B., Li C., Xie Y., Wang Z., Zhao J., Jiang H., Huang J., Shi Y., Dai J., Zheng K., Li X., Yang Z.,	Ma Q., Pan W., Li R., Liu B., Li C., Xie Y., Wang Z., Zhao J., Jiang H., Huang J., Shi Y., Dai J., Zheng K., Li X., Yang Z.
Andreani J., Le Bideau M., Duflot I., Jardot P., Rolland C., Boxberger M., Wurtz N., Rolain J.-M., Colson P., La Scola B., Raoult D.,	Andreani J., Le Bideau M., Duflot I., Jardot P., Rolland C., Boxberger M., Wurtz N., Rolain J.-M., Colson P., La Scola B., Raoult D.
Corrêa Giron C., Laaksonen A., Barroso da Silva F.L.,	Corrêa Giron C., Laaksonen A., Barroso da Silva F.L.
Buonanno G., Stabile L., Morawska L.,	Buonanno G., Stabile L., Morawska L.
Bampoe S., Odor P.M., Lucas D.N.,	Bampoe S., Odor P.M., Lucas D.N.
Zaninotto M., Mion M.M., Cosma C., Rinaldi D., Plebani M.,	Zaninotto M., Mion M.M., Cosma C., Rinaldi D., Plebani M.
Scohy A., Anantharajah A., Bodéus M., Kabamba-Mukadi B., Verroken A., Rodriguez-Villalobos H.,	Scohy A., Anantharajah A., Bodéus M., Kabamba-Mukadi B., Verroken A., Rodriguez-Villalobos H.
Diercks G.R., Park B.J., Myers L.B., Kwolek C.J.,	Diercks G.R., Park B.J., Myers L.B., Kwolek C.J.
Kong Q., Wu Y., Gu Y., Lv Q., Qi F., Gong S., Chen X.,	Kong Q., Wu Y., Gu Y., Lv Q., Qi F., Gong S., Chen X.
Correia G., Rodrigues L., Gameiro da Silva M., Gonçalves T.,	Correia G., Rodrigues L., Gameiro da Silva M., Gonçalves T.
Kitagawa Y., Orihara Y., Kawamura R., Imai K., Sakai J., Tarumoto N., Matsuoka M., Takeuchi S., Maesaki S., Maeda T.,	Kitagawa Y., Orihara Y., Kawamura R., Imai K., Sakai J., Tarumoto N., Matsuoka M., Takeuchi S., Maesaki S., Maeda T.
Engin A.B., Engin E.D., Engin A.,	Engin A.B., Engin E.D., Engin A.
Dhar D., Mohanty A.,	Dhar D., Mohanty A.
Padoan A., Sciacovelli L., Basso D., Negrini D., Zuin S., Cosma C., Faggian D., Matricardi P., Plebani M.,	Padoan A., Sciacovelli L., Basso D., Negrini D., Zuin S., Cosma C., Faggian D., Matricardi P., Plebani M.
Huang Y.-F., Bai C., He F., Xie Y., Zhou H.,	Huang Y.-F., Bai C., He F., Xie Y., Zhou H.
Ali I., Alharbi O.M.L.,	Ali I., Alharbi O.M.L.
Gombar S., Chang M., Hogan C.A., Zehnder J., Boyd S., Pinsky B.A., Shah N.H.,	Gombar S., Chang M., Hogan C.A., Zehnder J., Boyd S., Pinsky B.A., Shah N.H.
Onawole A.T., Sulaiman K.O., Kolapo T.U., Akinde F.O., Adegoke R.O.,	Onawole A.T., Sulaiman K.O., Kolapo T.U., Akinde F.O., Adegoke R.O.
Campos G.S., Sardi S.I., Falcao M.B., Belitardo E.M.M.A., Rocha D.J.P.G., Rolo C.A., Menezes A.D., Pinheiro C.S., Carvalho R.H., Almeida J.P.P., Aguiar E.R.G.R., Pacheco L.G.C.,	Campos G.S., Sardi S.I., Falcao M.B., Belitardo E.M.M.A., Rocha D.J.P.G., Rolo C.A., Menezes A.D., Pinheiro C.S., Carvalho R.H., Almeida J.P.P., Aguiar E.R.G.R., Pacheco L.G.C.
Wang H., Zhang Y., Mo P., Liu J., Wang H., Wang F., Zhao Q.,	Wang H., Zhang Y., Mo P., Liu J., Wang H., Wang F., Zhao Q.
Kalita P., Padhi A.K., Zhang K.Y.J., Tripathi T.,	Kalita P., Padhi A.K., Zhang K.Y.J., Tripathi T.
Pooladanda V., Thatikonda S., Godugu C.,	Pooladanda V., Thatikonda S., Godugu C.
de Vries A.P.J., Alwayn I.P.J., Hoek R.A.S., van den Berg A.P., Ultee F.C.W., Vogelaar S.M., Haase-Kromwijk B.J.J.M., Heemskerk M.B.A., Hemke A.C., Nijboer W.N., Schaefer B.S., Kuiper M.A., de Jonge J., van der Kaaij N.P., Reinders M.E.J.,	de Vries A.P.J., Alwayn I.P.J., Hoek R.A.S., van den Berg A.P., Ultee F.C.W., Vogelaar S.M., Haase-Kromwijk B.J.J.M., Heemskerk M.B.A., Hemke A.C., Nijboer W.N., Schaefer B.S., Kuiper M.A., de Jonge J., van der Kaaij N.P., Reinders M.E.J.
Kloc M., Ghobrial R.M., Kubiak J.Z.,	Kloc M., Ghobrial R.M., Kubiak J.Z.
Sberna G., Amendola A., Valli M.B., Carletti F., Capobianchi M.R., Bordi L., Lalle E.,	Sberna G., Amendola A., Valli M.B., Carletti F., Capobianchi M.R., Bordi L., Lalle E.
Kangas-Dick A.W., Swearingen B., Wan E., Chawla K., Wiesel O.,	Kangas-Dick A.W., Swearingen B., Wan E., Chawla K., Wiesel O.
Piva S., Filippini M., Turla F., Cattaneo S., Margola A., De Fulviis S., Nardiello I., Beretta A., Ferrari L., Trotta R., Erbici G., Focà E., Castelli F., Rasulo F., Lanspa M.J., Latronico N.,	Piva S., Filippini M., Turla F., Cattaneo S., Margola A., De Fulviis S., Nardiello I., Beretta A., Ferrari L., Trotta R., Erbici G., Focà E., Castelli F., Rasulo F., Lanspa M.J., Latronico N.
Ietto G.,	Ietto G.
Hu X., Xing Y., Jia J., Ni W., Liang J., Zhao D., Song X., Gao R., Jiang F.,	Hu X., Xing Y., Jia J., Ni W., Liang J., Zhao D., Song X., Gao R., Jiang F.
Briz-Redón Á., Serrano-Aroca Á.,	Briz-Redón Á., Serrano-Aroca Á.
Antinori S., Cossu M.V., Ridolfo A.L., Rech R., Bonazzetti C., Pagani G., Gubertini G., Coen M., Magni C., Castelli A., Borghi B., Colombo R., Giorgi R., Angeli E., Mileto D., Milazzo L., Vimercati S., Pellicciotta M., Corbellino M., Torre A., Rusconi S., Oreni L., Gismondo M.R., Giacomelli A., Meroni L., Rizzardini G., Galli M.,	Antinori S., Cossu M.V., Ridolfo A.L., Rech R., Bonazzetti C., Pagani G., Gubertini G., Coen M., Magni C., Castelli A., Borghi B., Colombo R., Giorgi R., Angeli E., Mileto D., Milazzo L., Vimercati S., Pellicciotta M., Corbellino M., Torre A., Rusconi S., Oreni L., Gismondo M.R., Giacomelli A., Meroni L., Rizzardini G., Galli M.
Divani A.A., Andalib S., Di Napoli M., Lattanzi S., Hussain M.S., Biller J., McCullough L.D., Azarpazhooh M.R., Seletska A., Mayer S.A., Torbey M.,	Divani A.A., Andalib S., Di Napoli M., Lattanzi S., Hussain M.S., Biller J., McCullough L.D., Azarpazhooh M.R., Seletska A., Mayer S.A., Torbey M.
Bruinen de Bruin Y., Lequarre A.-S., McCourt J., Clevestig P., Pigazzani F., Zare Jeddi M., Colosio C., Goulart M.,	Bruinen de Bruin Y., Lequarre A.-S., McCourt J., Clevestig P., Pigazzani F., Zare Jeddi M., Colosio C., Goulart M.
Nikhat S., Fazil M.,	Nikhat S., Fazil M.
Yang M.-C., Hung P.-P., Wu Y.-K., Peng M.-Y., Chao Y.-C., Su W.-L.,	Yang M.-C., Hung P.-P., Wu Y.-K., Peng M.-Y., Chao Y.-C., Su W.-L.
Zhu X., Ge Y., Wu T., Zhao K., Chen Y., Wu B., Zhu F., Zhu B., Cui L.,	Zhu X., Ge Y., Wu T., Zhao K., Chen Y., Wu B., Zhu F., Zhu B., Cui L.
Urra J.M., Cabrera C.M., Porras L., Ródenas I.,	Urra J.M., Cabrera C.M., Porras L., Ródenas I.
Ghafouri-Fard S., Noroozi R., Vafaee R., Branicki W., Po?piech E., Pyrc K., ?abaj P.P., Omrani M.D., Taheri M., Sanak M.,	Ghafouri-Fard S., Noroozi R., Vafaee R., Branicki W., Po?piech E., Pyrc K., ?abaj P.P., Omrani M.D., Taheri M., Sanak M.
Sharmeen S., Elghawy A., Zarlasht F., Yao Q.P.,	Sharmeen S., Elghawy A., Zarlasht F., Yao Q.P.
Michelena X., Borrell H., López-Corbeto M., López-Lasanta M., Moreno E., Pascual-Pastor M., Erra A., Serrat M., Espartal E., Antón S., Añez G.A., Caparrós-Ruiz R., Pluma A., Trallero-Araguás E., Barceló-Bru M., Almirall M., De Agustín J.J., Lladós J., Julià A., Marsal S.,	Michelena X., Borrell H., López-Corbeto M., López-Lasanta M., Moreno E., Pascual-Pastor M., Erra A., Serrat M., Espartal E., Antón S., Añez G.A., Caparrós-Ruiz R., Pluma A., Trallero-Araguás E., Barceló-Bru M., Almirall M., De Agustín J.J., Lladós J., Julià A., Marsal S.
Efe I.E., Aydin O.U., Alabulut A., Celik O., Aydin K.,	Efe I.E., Aydin O.U., Alabulut A., Celik O., Aydin K.
Demelo-Rodríguez P., Cervilla-Muñoz E., Ordieres-Ortega L., Parra-Virto A., Toledano-Macías M., Toledo-Samaniego N., García-García A., García-Fernández-Bravo I., Ji Z., de-Miguel-Diez J., Álvarez-Sala-Walther L.A., del-Toro-Cervera J., Galeano-Valle F.,	Demelo-Rodríguez P., Cervilla-Muñoz E., Ordieres-Ortega L., Parra-Virto A., Toledano-Macías M., Toledo-Samaniego N., García-García A., García-Fernández-Bravo I., Ji Z., de-Miguel-Diez J., Álvarez-Sala-Walther L.A., del-Toro-Cervera J., Galeano-Valle F.
Robba C., Battaglini D., Ball L., Patroniti N., Loconte M., Brunetti I., Vena A., Giacobbe D.R., Bassetti M., Rocco P.R.M., Pelosi P.,	Robba C., Battaglini D., Ball L., Patroniti N., Loconte M., Brunetti I., Vena A., Giacobbe D.R., Bassetti M., Rocco P.R.M., Pelosi P.
Gilani S., Roditi R., Naraghi M.,	Gilani S., Roditi R., Naraghi M.
Kermali M., Khalsa R.K., Pillai K., Ismail Z., Harky A.,	Kermali M., Khalsa R.K., Pillai K., Ismail Z., Harky A.
Cobb J.S., Seale M.A.,	Cobb J.S., Seale M.A.
Klein D.E., Libman R., Kirsch C., Arora R.,	Klein D.E., Libman R., Kirsch C., Arora R.
Cássaro F.A.M., Pires L.F.,	Cássaro F.A.M., Pires L.F.
Li C., Yang Y., Ren L.,	Li C., Yang Y., Ren L.
Henry B.M., Vikse J., Benoit S., Favaloro E.J., Lippi G.,	Henry B.M., Vikse J., Benoit S., Favaloro E.J., Lippi G.
Giacomelli A., Ridolfo A.L., Milazzo L., Oreni L., Bernacchia D., Siano M., Bonazzetti C., Covizzi A., Schiuma M., Passerini M., Piscaglia M., Coen M., Gubertini G., Rizzardini G., Cogliati C., Brambilla A.M., Colombo R., Castelli A., Rech R., Riva A., Torre A., Meroni L., Rusconi S., Antinori S., Galli M.,	Giacomelli A., Ridolfo A.L., Milazzo L., Oreni L., Bernacchia D., Siano M., Bonazzetti C., Covizzi A., Schiuma M., Passerini M., Piscaglia M., Coen M., Gubertini G., Rizzardini G., Cogliati C., Brambilla A.M., Colombo R., Castelli A., Rech R., Riva A., Torre A., Meroni L., Rusconi S., Antinori S., Galli M.
Baker D., Amor S., Kang A.S., Schmierer K., Giovannoni G.,	Baker D., Amor S., Kang A.S., Schmierer K., Giovannoni G.
Roncati L., Ligabue G., Fabbiani L., Malagoli C., Gallo G., Lusenti B., Nasillo V., Manenti A., Maiorana A.,	Roncati L., Ligabue G., Fabbiani L., Malagoli C., Gallo G., Lusenti B., Nasillo V., Manenti A., Maiorana A.
Kashir J., Yaqinuddin A.,	Kashir J., Yaqinuddin A.
Chen Y., Dong Y., Cai S., Ye C., Dong L.,	Chen Y., Dong Y., Cai S., Ye C., Dong L.
Jones B.A., Slater B.J.,	Jones B.A., Slater B.J.
Zarikas V., Poulopoulos S.G., Gareiou Z., Zervas E.,	Zarikas V., Poulopoulos S.G., Gareiou Z., Zervas E.
Curigliano G., Cardoso M.J., Poortmans P., Gentilini O., Pravettoni G., Mazzocco K., Houssami N., Pagani O., Senkus E., Cardoso F.,	Curigliano G., Cardoso M.J., Poortmans P., Gentilini O., Pravettoni G., Mazzocco K., Houssami N., Pagani O., Senkus E., Cardoso F.
Lopes R.D., Macedo A.V.S., de Barros e Silva P.G.M., Moll-Bernardes R.J., Feldman A., D'Andréa Saba Arruda G., de Souza A.S., de Albuquerque D.C., Mazza L., Santos M.F., Salvador N.Z., Gibson C.M., Granger C.B., Alexander J.H., de Souza O.F., BRACE CORONA investigators,	Lopes R.D., Macedo A.V.S., de Barros e Silva P.G.M., Moll-Bernardes R.J., Feldman A., D'Andréa Saba Arruda G., de Souza A.S., de Albuquerque D.C., Mazza L., Santos M.F., Salvador N.Z., Gibson C.M., Granger C.B., Alexander J.H., de Souza O.F., BRACE CORONA investigators
Hirschbühl K., Schaller T., Kling E., Märkl B., Claus R.,	Hirschbühl K., Schaller T., Kling E., Märkl B., Claus R.
Della-Torre E., Della-Torre F., Kusanovic M., Scotti R., Ramirez G.-A., Dagna L., Tresoldi M.,	Della-Torre E., Della-Torre F., Kusanovic M., Scotti R., Ramirez G.-A., Dagna L., Tresoldi M.
O'Callaghan-Gordo C., Antó J.M.,	O'Callaghan-Gordo C., Antó J.M.
Decaro N., Martella V., Saif L.J., Buonavoglia C.,	Decaro N., Martella V., Saif L.J., Buonavoglia C.
Chakraborty I., Maity P.,	Chakraborty I., Maity P.
Blocken B., van Druenen T., van Hooff T., Verstappen P.A., Marchal T., Marr L.C.,	Blocken B., van Druenen T., van Hooff T., Verstappen P.A., Marchal T., Marr L.C.
Siegler J.E., Heslin M.E., Thau L., Smith A., Jovin T.G.,	Siegler J.E., Heslin M.E., Thau L., Smith A., Jovin T.G.
Kwenandar F., Japar K.V., Damay V., Hariyanto T.I., Tanaka M., Lugito N.P.H., Kurniawan A.,	Kwenandar F., Japar K.V., Damay V., Hariyanto T.I., Tanaka M., Lugito N.P.H., Kurniawan A.
Carotenuto A.R., Lunghi L., Piccolo V., Babaei M., Dayal K., Pugno N., Zingales M., Deseri L., Fraldi M.,	Carotenuto A.R., Lunghi L., Piccolo V., Babaei M., Dayal K., Pugno N., Zingales M., Deseri L., Fraldi M.
Yang L., Liu J., Zhang R., Li M., Li Z., Zhou X., Hu C., Tian F., Zhou F., Lei Y.,	Yang L., Liu J., Zhang R., Li M., Li Z., Zhou X., Hu C., Tian F., Zhou F., Lei Y.
Hasan S.S., Capstick T., Zaidi S.T.R., Kow C.S., Merchant H.A.,	Hasan S.S., Capstick T., Zaidi S.T.R., Kow C.S., Merchant H.A.
Di Cosimo S., Malfettone A., Pérez-García J.M., Llombart-Cussac A., Miceli R., Curigliano G., Cortés J.,	Di Cosimo S., Malfettone A., Pérez-García J.M., Llombart-Cussac A., Miceli R., Curigliano G., Cortés J.
Burtscher J., Burtscher M., Millet G.P.,	Burtscher J., Burtscher M., Millet G.P.
Viecca M., Radovanovic D., Forleo G.B., Santus P.,	Viecca M., Radovanovic D., Forleo G.B., Santus P.
Sayo A.R., Balinas E.G.M., Verona J.A., Villanueva A.M.G., Han S.M., Suzuki J., Ariyoshi K., Smith C., Solante R.M.,	Sayo A.R., Balinas E.G.M., Verona J.A., Villanueva A.M.G., Han S.M., Suzuki J., Ariyoshi K., Smith C., Solante R.M.
Parrinello G., Missale F., Sampieri C., Carobbio A.L.C., Peretti G.,	Parrinello G., Missale F., Sampieri C., Carobbio A.L.C., Peretti G.
Boccanegra B., Verhaart I.E.C., Cappellari O., Vroom E., De Luca A.,	Boccanegra B., Verhaart I.E.C., Cappellari O., Vroom E., De Luca A.
